Index,Time,HIGH,LOW,LAST,FIRST
491,00:00.0,,,,
492,00:00.0,,,,
493,00:00.0,,,,
494,00:00.0,,,,
495,00:00.0,,,,
496,00:00.0,,,,
497,00:00.0,,,,
498,00:00.0,,,,
499,00:00.0,0.89525,0.89515,0.89515,
500,00:00.0,0.89549,0.89247,0.89332,0.89405
501,00:00.0,0.89359,0.89331,0.89337,0.89342
502,00:00.0,0.89374,0.89319,0.89335,0.89336
503,00:00.0,0.89375,0.89307,0.89372,0.89337
504,00:00.0,0.89462,0.89365,0.89392,0.89373
505,00:00.0,0.8945,0.89344,0.89344,
506,00:00.0,0.89373,0.89232,0.8927,0.89345
507,00:00.0,0.8939,0.89244,0.89376,0.89271
508,00:00.0,0.89506,0.89374,0.89392,0.89377
509,00:00.0,0.89411,0.89315,0.89377,0.89391
510,00:00.0,0.89379,0.891,0.89103,0.89376
511,00:00.0,0.89179,0.8906,0.89154,0.89104
512,00:00.0,0.89183,0.8905,0.89053,0.89153
513,00:00.0,0.89073,0.88662,0.88695,0.89054
514,00:00.0,0.88818,0.88668,0.88745,0.88697
515,00:00.0,0.88867,0.88734,0.88835,0.88744
516,00:00.0,0.88854,0.88701,,0.88837
517,00:00.0,0.88731,0.88618,0.88628,0.88712
518,00:00.0,0.88711,0.88568,0.88711,0.88627
519,00:00.0,0.88763,0.88533,0.88696,0.88712
520,00:00.0,0.88793,0.8865,0.88753,0.88695
521,00:00.0,0.8876,0.88623,0.8866,0.88754
522,00:00.0,0.88705,0.88623,0.88644,0.88659
523,00:00.0,0.88744,0.88645,0.88719,0.88645
524,00:00.0,0.88836,0.8872,0.88786,0.88723
525,00:00.0,0.88805,0.88733,0.88749,0.88785
526,00:00.0,0.88782,0.88685,0.88746,
527,00:00.0,0.88829,0.88697,0.88816,0.88765
528,00:00.0,0.88832,0.88763,0.88775,0.88814
529,00:00.0,0.88804,0.88699,0.88727,
530,00:00.0,0.89021,0.8872,0.88943,0.88728
531,00:00.0,0.88955,0.8874,0.8888,0.88942
532,00:00.0,0.88963,0.88853,0.88939,0.88879
533,00:00.0,0.8916,0.8892,0.89113,0.88938
534,00:00.0,0.89242,0.89075,0.89168,0.89112
535,00:00.0,0.8917,0.88988,0.88997,0.89169
536,00:00.0,0.89064,0.88853,0.88856,0.88996
537,00:00.0,0.8898,0.88746,0.88947,0.88857
538,00:00.0,0.89283,0.88936,0.8922,0.88946
539,00:00.0,0.89221,0.89109,0.89132,0.89215
540,00:00.0,0.89194,0.89069,0.89124,0.89131
541,00:00.0,0.89123,0.88718,0.88827,0.89123
542,00:00.0,0.88877,0.88575,0.88607,0.88826
543,00:00.0,0.88609,0.88419,0.88485,0.88608
544,00:00.0,0.88589,0.88362,0.88527,0.88483
545,00:00.0,0.8854,0.88322,0.8837,0.88528
546,00:00.0,0.88431,0.88341,0.88388,0.88368
547,00:00.0,0.88468,0.88389,0.88428,0.88389
548,00:00.0,0.88492,0.88418,0.88471,0.88427
549,00:00.0,0.8849,0.88406,0.88426,0.8847
550,00:00.0,0.88503,0.88415,0.88503,
551,00:00.0,0.88552,0.8846,0.88539,0.88501
552,00:00.0,0.88647,0.88509,0.88531,0.88537
553,00:00.0,0.88583,0.88444,0.88454,
554,00:00.0,0.88653,0.884,0.88599,0.88453
555,00:00.0,0.88652,0.88529,0.88601,0.88598
556,00:00.0,0.88653,0.88539,0.88617,0.88602
557,00:00.0,0.88704,0.88616,0.88697,0.88616
558,00:00.0,0.8879,0.88648,0.88768,0.88696
559,00:00.0,0.88881,0.88689,0.88849,0.8877
560,00:00.0,0.88981,0.88814,0.88841,0.88847
561,00:00.0,0.88839,0.88721,0.88754,0.88839
562,00:00.0,0.88757,0.88643,0.88678,0.88753
563,00:00.0,0.88869,0.88679,0.88796,0.88679
564,00:00.0,0.88804,0.88692,0.88736,0.88797
565,00:00.0,0.88853,0.88681,0.88718,0.88735
566,00:00.0,0.8872,0.88584,0.88646,0.88719
567,00:00.0,0.88831,0.88469,0.88721,0.88645
568,00:00.0,0.88825,0.88642,0.88696,0.8872
569,00:00.0,0.8879,0.88683,0.8874,0.88697
570,00:00.0,0.88889,0.88721,0.88811,0.88741
571,00:00.0,0.8881,0.88746,0.88777,0.8881
572,00:00.0,0.88837,0.8874,0.88799,0.88776
573,00:00.0,0.88899,0.88786,0.88855,0.88798
574,00:00.0,0.8888,0.88806,0.88821,0.88853
575,00:00.0,0.8883,0.88728,0.88761,0.88816
576,00:00.0,0.888,0.88566,0.88597,0.88759
577,00:00.0,0.88684,0.88503,0.8864,
578,00:00.0,0.88689,0.88609,0.88629,0.88639
